,powe,vibr
2021-07-09 06:01:58,0.36180003839999997,0.0
2021-07-09 06:01:59,0.0,0.0
2021-07-09 06:02:00,0.0,0.0
2021-07-09 06:02:01,0.20170172081190177,0.0
2021-07-09 06:02:02,0.29920474582326784,0.0
2021-07-09 06:02:03,0.0,0.0
2021-07-09 06:02:04,0.0,0.0
2021-07-09 06:02:05,0.0,0.0
2021-07-09 06:02:06,0.0,0.0
2021-07-09 06:02:07,0.15959596481991567,0.0
2021-07-09 06:02:08,0.23912611192871253,0.0
2021-07-09 06:02:09,0.1592000512,0.0
2021-07-09 06:02:10,0.48008049833973465,0.0
2021-07-09 06:02:11,0.5192807141198459,0.0
2021-07-09 06:02:12,0.23960195436271153,0.0
2021-07-09 06:02:13,0.0,0.0
2021-07-09 06:02:14,0.0,0.0
2021-07-09 06:02:15,0.19839681903285855,0.0
2021-07-09 06:02:16,0.6198795258140978,0.0
2021-07-09 06:02:17,0.47872136047768943,0.0
2021-07-09 06:02:18,0.0,0.0
2021-07-09 06:02:19,0.0,0.0
2021-07-09 06:02:20,0.24024149501920383,0.0
2021-07-09 06:02:21,0.35976212549531816,0.0
2021-07-09 06:02:22,0.0,0.0
2021-07-09 06:02:23,0.0,0.0
2021-07-09 06:02:24,0.0,0.0
2021-07-09 06:02:25,0.0,0.0
2021-07-09 06:02:26,0.0,0.0
2021-07-09 06:02:27,0.0,0.0
2021-07-09 06:02:28,0.0,0.0
2021-07-09 06:02:29,0.0,0.0
2021-07-09 06:02:30,0.0,0.0
2021-07-09 06:02:31,0.0,0.0
2021-07-09 06:02:32,0.0,0.0
2021-07-09 06:02:33,0.2788844621513944,0.0
2021-07-09 06:02:34,0.4208459034583462,0.0
2021-07-09 06:02:35,0.15992066031746033,0.0
2021-07-09 06:02:36,0.24072578064516129,0.0
2021-07-09 06:02:37,0.0,0.0
2021-07-09 06:02:38,0.0,0.0
2021-07-09 06:02:39,0.0,0.0
2021-07-09 06:02:40,0.0,0.0
2021-07-09 06:02:41,0.0,0.0
2021-07-09 06:02:42,0.24072218195207587,0.0
2021-07-09 06:02:43,0.7999008253968254,0.0
2021-07-09 06:02:44,0.6641924791457561,0.0
2021-07-09 06:02:45,0.0,0.0
2021-07-09 06:02:46,0.1584,0.0
2021-07-09 06:02:47,0.2404833734047693,0.0
2021-07-09 06:02:48,0.0,0.0
2021-07-09 06:02:49,0.0,0.0
2021-07-09 06:02:50,0.2385542168674699,0.0
2021-07-09 06:02:51,0.35903614457831323,0.0
2021-07-09 06:02:52,0.0,0.0
2021-07-09 06:02:53,0.0,0.0
2021-07-09 06:02:54,0.1593594004013998,0.0
2021-07-09 06:02:55,0.24071855767267927,0.0
2021-07-09 06:02:56,0.0,0.0
2021-07-09 06:02:57,0.0,0.0
2021-07-09 06:02:58,0.0,0.0
2021-07-09 06:02:59,0.1596019747408223,0.0
2021-07-09 06:03:00,0.2416,0.0
2021-07-09 06:03:01,0.0,0.0
2021-07-09 06:03:02,0.0,0.0
2021-07-09 06:03:03,0.0,0.0
2021-07-09 06:03:04,0.0,0.0
2021-07-09 06:03:05,0.0,0.0
2021-07-09 06:03:06,0.0,0.0
2021-07-09 06:03:07,0.0,0.0
2021-07-09 06:03:08,0.2780341201546476,0.0
2021-07-09 06:03:09,0.4201402715651756,0.0
2021-07-09 06:03:10,0.0,0.0
2021-07-09 06:03:11,0.0,0.0
2021-07-09 06:03:12,0.0,0.0
2021-07-09 06:03:13,0.0,0.0
2021-07-09 06:03:14,0.0,0.0
2021-07-09 06:03:15,0.0,0.0
2021-07-09 06:03:16,0.0,0.0
2021-07-09 06:03:17,0.0,0.0
2021-07-09 06:03:18,0.40020058892827176,0.0
2021-07-09 06:03:19,0.6003976907066644,0.0
2021-07-09 06:03:20,0.0,0.0
2021-07-09 06:03:21,0.1588766400883701,0.0
2021-07-09 06:03:22,0.24039997440000002,0.0
2021-07-09 06:03:23,0.0,0.0
2021-07-09 06:03:24,0.0,0.0
2021-07-09 06:03:25,0.0,0.0
2021-07-09 06:03:26,0.0,0.0
2021-07-09 06:03:27,0.0,0.0
2021-07-09 06:03:28,0.23892216349098108,0.0
2021-07-09 06:03:29,0.3606030690667372,0.0
2021-07-09 06:03:30,0.23904850198127267,0.0
2021-07-09 06:03:31,0.6,0.0
2021-07-09 06:03:32,0.5596403570599229,0.0
2021-07-09 06:03:33,0.298499968,0.0
2021-07-09 06:03:34,0.0,0.0
2021-07-09 06:03:35,0.0,0.0
2021-07-09 06:03:36,0.0,0.0
2021-07-09 06:03:37,0.15935611630021845,0.0
2021-07-09 06:03:38,0.4,0.0
2021-07-09 06:03:39,0.4,0.0
2021-07-09 06:03:40,0.24079994880000002,0.0
2021-07-09 06:03:41,0.0,0.0
2021-07-09 06:03:42,0.200499968,0.0
2021-07-09 06:03:43,0.5,0.0
2021-07-09 06:03:44,0.29950003199999997,0.0
2021-07-09 06:03:45,0.0,0.0
2021-07-09 06:03:46,0.0,0.0
2021-07-09 06:03:47,0.0,0.0
2021-07-09 06:03:48,0.1614385717603083,0.0
2021-07-09 06:03:49,0.23863862335047858,0.0
2021-07-09 06:03:50,0.0,0.0
2021-07-09 06:03:51,0.0,0.0
2021-07-09 06:03:52,0.39680967358343056,0.0
2021-07-09 06:03:53,0.6053946171470864,0.0
2021-07-09 06:03:54,0.0,0.0
2021-07-09 06:03:55,0.0,0.0
2021-07-09 06:03:56,0.0,0.0
2021-07-09 06:03:57,0.0,0.0
2021-07-09 06:03:58,0.0,0.0
2021-07-09 06:03:59,0.0,0.0
2021-07-09 06:04:00,0.0,0.0
2021-07-09 06:04:01,0.0,0.0
2021-07-09 06:04:02,0.0,0.0
2021-07-09 06:04:03,0.0,0.0
2021-07-09 06:04:04,0.35910444316685014,0.0
2021-07-09 06:04:05,0.7404833734047693,0.0
2021-07-09 06:04:06,0.29930275697211156,0.0
2021-07-09 06:04:07,0.0,0.0
2021-07-09 06:04:08,0.0,0.0
2021-07-09 06:04:09,0.0,0.0
2021-07-09 06:04:10,0.0,0.0
2021-07-09 06:04:11,0.15895896388400507,0.0
2021-07-09 06:04:12,0.24206344126984128,0.0
2021-07-09 06:04:13,0.0,0.0
2021-07-09 06:04:14,0.4747253050773422,0.0
2021-07-09 06:04:15,0.7226586252261269,0.0
2021-07-09 06:04:16,0.0,0.0
2021-07-09 06:04:17,0.0,0.0
2021-07-09 06:04:18,0.1972754988641454,0.0
2021-07-09 06:04:19,0.6588877754033589,0.0
2021-07-09 06:04:20,0.7017154840466286,0.0
2021-07-09 06:04:21,0.23903905935485428,0.0
2021-07-09 06:04:22,0.0,0.0
2021-07-09 06:04:23,0.0,0.0
2021-07-09 06:04:24,0.0,0.0
2021-07-09 06:04:25,0.19990082539682538,0.0
2021-07-09 06:04:26,0.302499968,0.0
2021-07-09 06:04:27,0.0,0.0
2021-07-09 06:04:28,0.0,0.0
2021-07-09 06:04:29,0.0,0.0
2021-07-09 06:04:30,0.0,0.0
2021-07-09 06:04:31,0.0,0.0
2021-07-09 06:04:32,0.23927860337909695,0.0
2021-07-09 06:04:33,0.36095617529880475,0.0
2021-07-09 06:04:34,0.0,0.0
2021-07-09 06:04:35,0.0,0.0
2021-07-09 06:04:36,0.0,0.0
2021-07-09 06:04:37,0.1579899545066043,0.0
